,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
0,Crisis ID,Area affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related fatalities,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of different types of affected population groups,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Updated_score,,
1,AFG001,182,1,1,1,1,0,0,0,0,35,915,83,83,83,77,83,83,77,77,77,103.6,,
2,AGO002,334,396,396,5,592,396,396,396,396,396,5,75,75,75,75,75,75,75,75,75,305.3,,
3,ARM002,12,12,12,12,12,12,12,12,12,12,12,74,74,74,74,74,74,74,74,74,18.2,,
4,AZE002,11,11,11,11,11,11,11,11,11,11,999,74,74,74,74,74,74,74,74,74,116.1,,
5,BDI001,12,12,12,12,12,12,12,12,12,12,12,75,75,75,75,75,75,75,75,75,18.3,,
6,BFA002,153,26,26,5,5,26,26,26,26,26,5,77,77,77,77,77,77,77,77,77,24.8,,
7,BGD002,12,12,12,12,12,12,12,12,12,12,12,75,75,75,75,75,75,75,75,75,18.3,,
8,BRA001,0,0,0,0,0,0,0,0,0,0,0,75,75,75,75,75,75,75,75,75,7.5,,
9,BRA002,0,0,0,0,0,0,0,0,0,0,0,75,75,75,75,75,75,75,75,75,7.5,,
