,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
0,Crisis ID,Area affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related fatalities,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of different types of affected population groups,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Updated_score,,
1,AFG001,0,127,127,0,0,0,0,0,0,0,0,101,101,101,101,101,101,101,101,101,22.8,,
2,AFG006,128,128,128,0,91,0,0,0,0,0,123,101,101,101,101,101,101,101,101,101,44.3,,
3,AGO002,547,609,609,0,805,609,609,609,609,609,0,93,93,93,93,93,93,93,93,93,455.2,,
4,ARM002,60,1,1,1,1,1,1,1,1,1,225,94,94,94,94,94,94,94,94,94,32.7,,
5,AZE002,224,1,1,1,1,1,1,1,1,1,1212,94,94,94,94,94,94,94,94,94,131.4,,
6,BDI001,225,34,34,3,3,34,34,34,34,34,225,94,94,94,94,94,94,94,94,94,52.9,,
7,BFA002,366,239,239,0,0,239,239,239,239,239,0,93,93,93,93,93,93,93,93,93,152.7,,
8,BGD002,34,2,2,2,2,34,34,2,34,34,34,94,94,94,94,94,94,94,94,94,27.2,,
9,BGD010,106,2,2,2,2,2,2,2,2,2,106,94,94,94,94,94,94,94,94,94,21.6,,
