,Country,Crisis,Crisis ID,ISO3 code,Region,Drivers,Website name,Country level,Individual or aggregated,Indicator,Reliability,Type of entry
0,,,,,,,,,,,,
1,Afghanistan,Complex crisis in Afghanistan,AFG001,AFG,Asia,"Conflict,Violence,Displacement,Drought,Earthquake,Socio-political",Complex crisis,Yes,Individual,Total population,x,Humanitarian development
2,Angola,Drought in South-West Angola,AGO002,AGO,Africa,Drought,Drought in South-West,Yes,Individual,Landmass affected,Low,Change in the data/methodology
3,Armenia,Nagorno-Karabakh Conflict in Armenia,ARM002,ARM,Middle east,"Conflict,Displacement",Nagorno-Karabakh Conflict in Armenia,Yes,Individual,People exposed,Medium,
4,Azerbaijan,Nagorno-Karabakh conflict in Azerbaijan,AZE002,AZE,Middle east,"Conflict,Displacement",Nagorno-Karabakh conflict in Azerbaijan,Yes,Individual,People affected,High,
5,Burundi,Complex in Burundi,BDI001,BDI,Africa,"Violence,Displacement,Floods",Complex crisis ,Yes,Individual,People displaced,,
6,Burkina Faso,Conflict in Burkina Faso,BFA002,BFA,Africa,"Conflict,Displacement,Violence",Conflict,Yes,Individual,Injuries reported,,
7,Bangladesh,Rohingya refugee crisis,BGD002,BGD,Asia,"Conflict,Violence,Displacement",Rohingya Refugees,Yes,Individual,Illness cases reported,,
8,Brazil,Country level Brazil,BRA001,BRA,Americas,"Displacement,Floods",Country level,Yes,Aggregated,Fatalities reported,,
9,Brazil,Venezuela displacement in Brazil,BRA002,BRA,Americas,Displacement,Venezuelan refugees,No,Individual,Buildings damaged,,
10,Brazil,Floods in rainy season 2022,BRA003,BRA,Americas,Floods,Floods,No,Individual,Buildings destroyed,,
11,CAR,Complex crisis in CAR,CAF001,CAF,Africa,"Conflict,Displacement",Complex crisis,Yes,Individual,Economic Losses,,
12,Chile,Venezuela displacement in Chile,CHL002,CHL,Americas,Displacement,Venezuelan refugees,Yes,Individual,People in Need,,
13,Cameroon,Multiple crises in Cameroon,CMR001,CMR,Africa,"Conflict,Displacement",Country level,Yes,Aggregated,Minimal humanitarian conditions - Level 1,,
14,Cameroon,Boko Haram in Cameroon,CMR002,CMR,Africa,Conflict,Boko Haram,No,Individual,Stressed humanitarian conditions - Level 2,,
15,Cameroon,Anglophone Crisis in Cameroon,CMR003,CMR,Africa,Conflict,Anglophone crisis,No,Individual,Moderate humanitarian conditions - Level 3,,
16,Cameroon,CAR refugees in Cameroon,CMR004,CMR,Africa,"Conflict,Displacement",CAR refugees,No,Individual,Severe humanitarian conditions - Level 4,,
17,DRC,Complex crisis in DRC,COD001,COD,Africa,"Conflict,Displacement,Socio-political",Complex crisis,Yes,Individual,Extreme humanitarian conditions - Level 5,,
18,Congo,Complex crisis in Congo,COG001,COG,Africa,Conflict,Complex crisis,Yes,Individual,Fatalities in all crises,,
19,Colombia,Complex crisis in Colombia,COL001,COL,Americas,"Socio-political,Conflict,Violence,Floods,Displacement",Complex crisis,Yes,Individual,Crisis affected groups,,
20,Colombia,Venezuela displacement in Colombia,COL002,COL,Americas,Displacement,Venezuelan refugees ,No,Individual,People facing limited access constraints,,
21,Costa Rica,Nicaraguan refugees in Costa Rica,CRI002,CRI,Americas,Displacement,Nicaraguan refugees,Yes,Individual,People facing restricted access constraints,,
22,Djibouti,Multiple crises in Djibouti,DJI001,DJI,Africa,"Displacement,Drought",Country level,Yes,Aggregated,Impediments to entry into country (bureaucratic and administrative),,
23,Djibouti,Mixed migration in Djibouti,DJI002,DJI,Africa,Displacement,Mixed Migration,No,Individual,Restriction of movement (impediments to freedom of movement and/or administrative restrictions),,
24,Djibouti,Drought in Djibouti,DJI003,DJI,Africa,Drought,Drought,No,Individual,Interference into implementation of humanitarian activities,,
25,Dominican Republic,Venezuela displacement in Dominican Republic,DOM002,DOM,Americas,Displacement,Venezuelan refugees ,Yes,Individual,"Violence against personnel, facilities and assets",,
26,Algeria,Mixed migration flows in Algeria,DZA002,DZA,Africa,Displacement,Mixed Migration,No,Individual,Denial of existence of humanitarian needs or entitlements to assistance,,
27,Algeria,Sahrawi refugees in Algeria,DZA003,DZA,Africa,Displacement,Sahrawi refugees,No,Individual,Restriction and obstruction of access to services and assistance,,
28,Algeria,Multiple crises in Algeria,DZA004,DZA,Africa,Displacement,Country level,Yes,Aggregated,Ongoing insecurity/hostilities affecting humanitarian assistance,,
29,Ecuador,Venezuela displacement in Ecuador,ECU002,ECU,Americas,Displacement,Venezuelan refugees ,Yes,Individual,Presence of mines and improvised explosive devices,,
30,Egypt,Syrian Refugee Crisis in Egypt,EGY002,EGY,Africa,Displacement,Syrian refugee crisis,Yes,Individual,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",,
31,Eritrea,Complex crisis in Eritrea,ERI001,ERI,Africa,"Socio-political,Displacement",Complex crisis,Yes,Individual,,,
32,Spain,Mixed migration flows in spain,ESP002,ESP,Europe,Displacement,Mixed Migration,Yes,Individual,,,
33,Ethiopia,Complex crisis in Ethiopia,ETH001,ETH,Africa,"Displacement,Floods,Conflict",Complex crisis,Yes,Individual,,,
34,Ethiopia,International Displacement,ETH003,ETH,Africa,Displacement,International Displacement,No,Individual,,,
35,Ethiopia,Northern Ethiopia Conflict,ETH004,ETH,Africa,"Conflict,Displacement",Northern Ethiopia Conflict,No,Individual,,,
36,Ethiopia,Drought in Ethiopia,ETH005,ETH,Africa,Drought,Drought,No,Individual,,,
37,Greece,Mixed migration flows in Greece,GRC002,GRC,Europe,Displacement,Mixed Migration,Yes,Individual,,,
38,Guatemala,Complex crisis in Guatemala,GTM001,GTM,Americas,"Violence,Socio-political,Other seasonal event",Complex crisis,Yes,Individual,,,
39,Honduras,Complex crisis in Honduras,HND001,HND,Americas,"Violence,Socio-political,Other seasonal event,Cyclone",Complex crisis,Yes,Individual,,,
40,Haiti,Complex crisis in Haiti,HTI001,HTI,Americas,"Earthquake,Violence,Socio-political,Other seasonal event",Complex crisis,Yes,Individual,,,
41,Haiti,Nippes Earthquake ,HTI002,HTI,Americas,Earthquake,Earthquake,No,Individual,,,
42,Hungary,Displacement from Ukraine conflict in Hungary,HUN002,HUN,Europe,"Conflict,Displacement",Displacement from Ukraine conflict,Yes,Individual,,,
43,Indonesia,Papua Conflict,IDN002,IDN,Asia,"Socio-political,Violence",Papua Conflict,No,Individual,,,
44,Indonesia,Country Level,IDN007,IDN,Asia,"Earthquake,Socio-political,Violence",Country Level,Yes,Aggregated,,,
45,Indonesia,Earthquake in West Java province,IDN008,IDN,Asia,Earthquake,Earthquake in West Java,No,Individual,,,
46,India,Conflict in Jammu and Kashmir,IND002,IND,Asia,Socio-political,Kashmir conflict ,Yes,Individual,,,
47,Iran,Afghan Refugees in Iran,IRN004,IRN,Middle east,Displacement,Afghan Refugees,Yes,Individual,,,
48,Iraq,Multiple crises in Iraq,IRQ001,IRQ,Middle east,"Violence,Displacement,Socio-political,Conflict",Country level,Yes,Aggregated,,,
49,Iraq,Conflict  in Iraq,IRQ002,IRQ,Middle east,"Conflict,Socio-political,Violence",Conflict,No,Individual,,,
50,Iraq,Syrian and Palestinian refugees in iraq,IRQ003,IRQ,Middle east,Displacement,Syrian Refugees,No,Individual,,,
51,Italy,Mixed migration flows in Italy,ITA002,ITA,Europe,Displacement,Mixed Migration,Yes,Individual,,,
52,Jordan,Syrian refugees in Jordan,JOR002,JOR,Middle east,Displacement,Syrian refugees,Yes,Individual,,,
53,Kenya,Multiple crisis in Kenya ,KEN001,KEN,Africa,"Drought,Displacement",Country level ,Yes,Aggregated,,,
54,Kenya,Refugee situation in Kenya,KEN002,KEN,Africa,Displacement,Refugee situation,No,Individual,,,
55,Kenya,Drought in Kenya,KEN003,KEN,Africa,Drought,Drought,No,Individual,,,
56,Lebanon,Syrian refugees in Lebanon,LBN002,LBN,Middle east,Displacement,Syrian refugees,No,Individual,,,
57,Lebanon,Socioeconomic crisis in Lebanon,LBN004,LBN,Middle east,"Socio-political,Violence,Tecnological Disaster",Socioeconomic crisis,Yes,Individual,,,
58,Libya,Complex crisis in Libya,LBY001,LBY,Africa,"Conflict,Displacement,Socio-political",Complex crisis,Yes,Individual,,,
59,Libya,Mixed migration flows in Libya,LBY002,LBY,Africa,Displacement,Mixed Migration,No,Individual,,,
60,Sri Lanka,Socio-economic crisis in Sri Lanka,LKA002,LKA,Asia,"Socio-political,Food Security",Socio-economic crisis,Yes,Individual,,,
61,Morocco,Mixed migration flows in Morocco,MAR002,MAR,Africa,Displacement,Mixed Migration,Yes,Individual,,,
62,Moldova,DIsplacement from Ukraine conflict in Moldova,MDA002,MDA,Europe,"Displacement,Conflict",Displacement from Ukraine conflict,Yes,Individual,,,
63,Madagascar,Multiple crisis in Madagascar,MDG001,MDG,Africa,"Drought,Cyclone",Country level,Yes,Aggregated,,,
64,Madagascar,Drought in Madagascar,MDG002,MDG,Africa,Drought,Drought,No,Individual,,,
